""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Amdhd2"	95.3996885748754	-0.678452684860689	0.386702142278185	-1.75445804583266	0.0793520526973761	0.370785136925495
"Cdkl5"	13.870498612864	-1.63456872213131	0.931950169190406	-1.75392287717623	0.0794437230049688	0.370953673541287
"Gnl3l"	230.687791858681	0.509563380181843	0.290686996512068	1.75296241763841	0.0796084583181605	0.371192050752142
"Ang"	8.43416972016758	2.16844778296034	1.23706006726523	1.75290419628057	0.0796184532017297	0.371192050752142
"Matn2"	228.93098533206	-0.552022702428818	0.314903908272818	-1.75298777794327	0.0796041050235021	0.371192050752142
"Nolc1"	203.815925092502	0.64274578198767	0.366566833167582	1.75342045114547	0.0795298630965655	0.371192050752142
"Bard1"	30.8516193590479	1.01493580570336	0.579535722702829	1.75129119042036	0.0798957644234095	0.372051455354163
"Rap2b"	134.822998652151	0.577195249031467	0.32957567362017	1.75132843602005	0.0798893522426485	0.372051455354163
"1810009A15Rik"	8.27548840333495	2.04973280704202	1.17025600086003	1.7515251411107	0.0798554945456775	0.372051455354163
"Trps1"	273.276129106395	-0.569132919179912	0.325025922898975	-1.7510385451834	0.0799392707225297	0.372109711137638
"Arl6"	27.3669676530027	1.13569811410153	0.648695969438861	1.75074020435789	0.0799906707340395	0.372204652000831
"Mif"	1450.90361016445	0.45487026466144	0.25985112242973	1.75050336672857	0.080031493712979	0.372250322365096
"Uap1l1"	87.2041016204059	-0.772560253793348	0.441489430432336	-1.74989524219596	0.0801363918295625	0.372341194105403
"Pias4"	32.2418192004106	1.02943616017325	0.58831287121149	1.74981070540472	0.080150982798508	0.372341194105403
"Lyz1"	3.55516282987329	-3.40631206161744	1.94682998808702	-1.74967104598822	0.0801750926082854	0.372341194105403
"Vps37a"	198.695955548446	0.710093550875619	0.405802274235648	1.74985108748619	0.0801440126207815	0.372341194105403
"Ctc1"	30.5889621807597	-1.01176706247422	0.578347569107936	-1.74941007193097	0.0802201611091763	0.372406432372645
"Ttc3"	175.8555559305	-0.608146279451401	0.34795740542828	-1.74776070278737	0.0805054726214026	0.373586470359466
"Ddah1"	988.924983302763	0.505587095784662	0.289311711702549	1.74755143097862	0.080541731769633	0.373610312942212
"Pin1"	115.598085937111	0.687054417935202	0.393331937753153	1.74675471780881	0.0806798944032383	0.374106655971756
"Porcn"	72.2778046131063	-0.702754915079256	0.402384378744959	-1.74647663329068	0.0807281639367017	0.374185949057955
"Ost4"	752.166530661143	-0.402182120151662	0.230363974941435	-1.74585509845412	0.0808361338952167	0.374252906830728
"Capn7"	233.297210858827	-0.594186360729411	0.34031427396471	-1.74599306049392	0.0808121576926966	0.374252906830728
"Atf6b"	506.60331313684	0.528180120973616	0.302487748379496	1.74612070671692	0.0807899794026875	0.374252906830728
"Map3k20"	271.264094086227	0.612935135029088	0.35135467805973	1.74449117459848	0.081073478990484	0.374629374626928
"Gjb3"	46.1601910828307	0.879148217344128	0.503857750731231	1.74483416414306	0.0810137400123835	0.374629374626928
"Pmpcb"	244.389533748593	-0.449701960244789	0.257687433070443	-1.74514509646986	0.0809596153720899	0.374629374626928
"Pak1"	331.625017097106	0.648042353526108	0.371381283511925	1.74495156944359	0.0809932995753589	0.374629374626928
"Zc3h7b"	357.591351234103	-0.46174980742541	0.264678589782489	-1.7445680355365	0.0810600889033672	0.374629374626928
"Mad2l2"	66.994876066624	0.895293360520125	0.513299906744338	1.74419155109266	0.0811256941030542	0.374726416970822
"Gm2115"	280.418453822969	-0.493791416413139	0.283136391552106	-1.7440054727909	0.0811581355360816	0.3747320835041
"Btrc"	26.4599374528009	-1.21699414776029	0.697898687183221	-1.74379773183438	0.0811943661392806	0.37475523471821
"Selenoi"	360.350346016027	0.409943969324227	0.235179477832634	1.74311114686616	0.0813142018807603	0.375164102067074
"Gpr85"	10.2727074536019	1.65025654382237	0.947156858270474	1.7423265527906	0.0814513197187831	0.375508100316433
"Xylt1"	8.71854470153621	-1.76958969930895	1.01562092041389	-1.74237224119783	0.0814433299443222	0.375508100316433
"Parp16"	28.0345077417295	-1.07627230535407	0.61798716380532	-1.74157712067483	0.0815824677028461	0.375968339644018
"Impa1"	287.47568963935	0.476968009591333	0.274036062529875	1.74053007909984	0.0817659831491623	0.376380608782858
"Gadd45a"	79.25093364583	-0.876195156412396	0.503394937021081	-1.74057204785852	0.0817586208288286	0.376380608782858
"Psmd3"	1211.0349529108	0.45080812213521	0.258978193609696	1.74071845915575	0.081732941008935	0.376380608782858
"Ttc4"	165.729511352304	-0.611600613375137	0.351486436713513	-1.7400404382421	0.0818519175699021	0.376631763291175
"Osr1"	133.901666567883	0.720683170651185	0.414462137826999	1.73883958237943	0.0820629839738846	0.377417092330561
"Pcdhb18"	8.49602492397804	-2.24755691541004	1.29265637690647	-1.73871181511423	0.0820854667284544	0.377417092330561
"Arpp19"	475.457510544075	-0.547284742079888	0.314892499869846	-1.73800500903037	0.0822099311685082	0.377796496629512
"H2-Q7"	4.1453504178623	3.02120418756418	1.73843646655765	1.7378858794573	0.0822309242559696	0.377796496629512
"Helq"	10.5793883752536	1.74202886054796	1.00314213993556	1.73657230735005	0.0824626910888514	0.378282234054896
"Srr"	109.579149928512	-0.599584872452527	0.345167794393099	-1.73708231820053	0.0823726418955768	0.378282234054896
"Ptk2"	155.720131131466	0.512739718552087	0.295246859350085	1.73664749450937	0.0824494107835078	0.378282234054896
"Plxnb2"	488.20802514894	0.501126214583764	0.288516139100012	1.73690877795246	0.0824032737797415	0.378282234054896
"Map2k2"	306.571585111213	0.4152556759271	0.239254717867163	1.7356216823179	0.0826307495719129	0.378908383732167
"Psmb3"	562.601443195066	0.470694637105071	0.27128696443412	1.73504332612109	0.0827331313923044	0.379233005866596
"Deaf1"	188.706838878335	0.498573383449694	0.287430679626787	1.73458652394749	0.0828140681167262	0.379459117458511
"Eef1e1"	52.7689065294205	0.782952274475825	0.451469305980039	1.73423146181823	0.0828770227378217	0.379602692852938
"Mgat4b"	425.576569372197	0.650836547962247	0.375356982928452	1.73391352116208	0.0829334284087841	0.379716173931141
"Pim1"	347.663982792367	0.647613313503044	0.373597634132355	1.73345132392785	0.0830154820346903	0.379946954565939
"AI846148"	29.1188107321467	1.07403470704353	0.61972169896621	1.73309198118314	0.0830793213993513	0.380094227667383
"Flrt3"	65.223023816539	0.858194493001654	0.495293669653703	1.73269828706206	0.0831493091441694	0.380269507152668
"Plp1"	12.2115126204429	-1.64563170768229	0.950751768370316	-1.73087420126819	0.0834742039099848	0.380464646097115
"Zfp951"	4.00024909135138	3.3918364858996	1.9596279604122	1.7308573639591	0.0834772076484633	0.380464646097115
"Fam60a"	3.70496944377299	3.13062268996932	1.80817119851392	1.73137515548433	0.0833848748321845	0.380464646097115
"Bbs4"	15.7260358336487	-1.39015042832519	0.802847516272297	-1.73152485390975	0.0833581959622745	0.380464646097115
"Ccdc47"	385.245988910606	0.462170653049394	0.26688453317524	1.73172513053024	0.0833225139891324	0.380464646097115
"Cks2"	80.8838271111724	0.70203069149118	0.405319852592094	1.73204121880921	0.0832662237848409	0.380464646097115
"Robo2"	4.27193909004776	3.52538519619229	2.03641088783477	1.73117577462016	0.0834204187185485	0.380464646097115
"Def6"	62.1593776308793	-0.874104907565614	0.504762259293757	-1.7317160533924	0.0833241309355933	0.380464646097115
"Kifc1"	64.1171990217888	-0.754045903329178	0.435423367764697	-1.73175341323589	0.0833174760418968	0.380464646097115
"Gtf2ird1"	68.3635462262292	0.744821947105707	0.430373835222663	1.7306394723563	0.0835160869226767	0.380497390325136
"Mospd2"	59.0598938440607	-0.701984821854274	0.405729507366228	-1.73017936607858	0.0835982337141846	0.380727160750678
"1700037H04Rik"	119.566907165519	0.638951940530289	0.369407563715864	1.72966664272676	0.0836898517631256	0.380855447466385
"Slc37a4"	29.227335524034	1.13867033422856	0.658302754930261	1.72970616589503	0.0836827865148489	0.380855447466385
"Psmd6"	184.225671487424	0.529901069645394	0.306408981942613	1.72939143717608	0.0837390615035049	0.38093498800666
"Lgi2"	24.0511893024413	1.24127010791672	0.717912619133872	1.72899887094094	0.0838092971519433	0.381110080420106
"Mrpl15"	140.660529242457	0.518153832294456	0.299890861276946	1.72780801018123	0.0840226508174551	0.38181985465587
"Nisch"	740.043823916956	0.417746955363806	0.2417835212864	1.72777265026665	0.0840289925864898	0.38181985465587
"Farsb"	487.179383034013	0.405114221575153	0.234582100247	1.72696135446223	0.084174604222364	0.382192179912814
"Echs1"	163.646680313178	-0.51275595435707	0.296909925850642	-1.72697478162117	0.084172192650561	0.382192179912814
"Snx27"	140.61321229236	0.546976781197356	0.316902912705095	1.72600742772713	0.0843460764674066	0.382536701167819
"Nfx1"	146.658397091464	0.530889218362412	0.307557648523019	1.72614539391849	0.084321259007698	0.382536701167819
"Nsmce3"	165.661116115751	0.604436975124546	0.350128894896121	1.72632702966111	0.0842885952483017	0.382536701167819
"Map9"	57.2137828460516	0.714450161586098	0.414041521299493	1.72555196721274	0.084428047006961	0.382570807809745
"Map3k7"	442.901163826366	-0.403229825822547	0.233692548459493	-1.72547147301293	0.0844425404802434	0.382570807809745
"Gdf11"	41.539008030205	-0.916401070038566	0.531197355995795	-1.72516120363713	0.0844984252169217	0.382570807809745
"Cdkn2aipnl"	52.9098129969339	0.816442547922154	0.473326411779795	1.72490384564043	0.0845448024255938	0.382570807809745
"Ramp2"	8.45460221385196	-2.0335879821502	1.17884822795827	-1.72506344236722	0.0845160398656512	0.382570807809745
"Tcf7l2"	194.707795094189	-0.538159916290346	0.311943570666773	-1.72518354887084	0.0844943994645218	0.382570807809745
"Cobll1"	15.5788935237571	-1.2100112904184	0.701708149169577	-1.72437970379903	0.0846393191107852	0.382583936691226
"Msl1"	663.417862173736	-0.431880057520921	0.250428500584956	-1.72456432279923	0.0846060176577433	0.382583936691226
"Rin1"	62.9203707304056	1.02970647941395	0.597153681762316	1.72435758308496	0.084643309941849	0.382583936691226
"Cpe"	742.246581745018	0.546965180134673	0.317282108897995	1.72390804522332	0.0847244447252589	0.382806533280667
"Cdh22"	3.67860631311194	3.0996027388795	1.79840423288741	1.72352949475823	0.0847928161419911	0.382834486953529
"Fam168a"	279.085537627592	-0.543390485983754	0.31527935565916	-1.72352066898791	0.0847944107296488	0.382834486953529
