""	"WT1"	"WT2"	"C1"	"C2"	"C3"	"Tg197-1"	"Tg197-2"	"Tg197-3"	"Tg197-C1"	"Tg197-C3"
"Hmcn1"	2.31287789011541	2.09660166675917	2.22013388555558	2.38884605809347	2.08922505023496	2.50526334177388	2.58571451173942	2.39932911088328	2.16494068181016	2.15180600948325
"Gm47985"	0	0	0	0	0	0	0	0	0	0
"Gm8947"	0	0	0	0	0	0	0	0	0	0
"Ivns1abp"	8.8249300580829	8.93740533691273	8.73982324133796	8.53604652742277	8.58069424696304	8.85000468676425	8.83199337793125	8.87432071681949	9.31592783887719	8.94394626618556
"Swt1"	5.51143854172771	5.46395675242959	5.47642626402517	5.41773967640952	5.53148220155896	5.33423167192499	5.42507907939266	5.1063095592624	5.34549903722927	5.87408378702456
"Trmt1l"	8.07299093115723	8.49256104392044	8.4745949294245	8.42706972261196	8.1038256688763	8.40133609730081	8.35905384328478	8.64843015104561	8.41434476422801	8.26941235475516
"Rnf2"	8.61551811711396	8.54561588651597	8.25281242805005	8.44036736214961	8.6257988935294	8.55929465123163	8.95281929823925	8.60129384911414	8.57878150096007	8.40293072347127
"Fam129a"	8.37324463027736	8.3258570636992	8.39724727620111	8.5954243478138	8.76275019837814	8.60507523427765	8.77404175428849	8.59819318891988	8.48309002496854	8.62089278860288
"Edem3"	7.95623894081544	7.76134124767923	7.531083687837	7.54957903636262	7.44268132489103	7.68005792117198	7.99570403297049	7.96018237970766	7.81181377587462	7.31434056340594
"1700025G04Rik"	5.64317869378841	6.2586108936719	6.05654329082186	5.9965825383886	5.80563466907133	5.93979968472917	5.96507391768739	5.90995869697887	6.06250748826735	6.10413567380285
"Tsen15"	7.26587977866408	6.45447599598717	6.96899733946556	6.85906362813466	6.59681013438191	6.81739476798946	6.6702141663032	6.92674416693125	6.69203537868583	6.53911326376452
"Colgalt2"	-0.176057718153499	-0.15840956324429	-0.195703564173589	-0.157785072449022	-0.1319392664577	-0.197253235991218	-0.16698198858742	-0.0304766428262063	-0.1969573515693	-0.194542976499617
"Rgl1"	8.06125491446389	7.96801529789567	7.69398815703247	7.71979130411904	7.7553528791272	7.706750556556	7.65646488860619	8.19427171893118	7.63445224169202	7.22239846499704
"Apobec4"	0	0	0	0	0	0	0	0	0	0
"Arpc5"	9.05622911506736	8.94741147957146	9.02773760897696	8.94108445620721	9.28168154274848	9.0145622046777	9.24569264781929	8.93342954701633	8.86685471709151	8.63396824582458
"Ncf2"	3.2737872982435	3.27788935873	2.89114937722955	3.02719281943148	3.14817247283584	3.34916679078469	2.9379924326598	3.08798153080416	3.05360309253038	2.78116351224347
"Smg7"	8.31711342489816	8.46031676016733	8.31533892405338	8.11532849318524	8.33900865279667	8.42142140297826	8.3465623764649	8.0902274985249	8.37617002005874	8.64950579229812
"Nmnat2"	5.17192094147997	5.13132238572395	5.13695171337954	5.49764665130919	5.77955716887048	5.3157164100654	5.71773406200251	5.03677086421093	5.06265078771197	4.88539949402032
"Lamc2"	2.99252009323542	2.89577632621548	2.97534889507645	2.89796889546881	3.30449366433299	3.34662815784471	3.18492832005391	3.1764257149671	3.20237415164274	3.38466636614205
"Lamc1"	6.26969890845158	5.94627234980761	6.33481362977582	6.08349970302074	6.49665838334466	6.53634929309712	6.81812816015878	6.66330404102067	5.95265755092319	6.54508779081424
"Shcbp1l"	0	0	0	0	0	0	0	0	0	0
"Dhx9"	7.44886025572352	7.87425366682241	7.89365880142331	7.97482556966076	7.5330170097873	7.70079229249284	7.32431575825843	7.50481267310051	8.10939606405327	8.09199189124816
"Npl"	0.36396506837371	0.525015488406493	0.423880299141818	0.345017410691601	0.342895362864203	0.410516172218291	0.404901353650274	0.341583579531145	0.477885611295752	0.347123340704279
"Rgs8"	2.48516309530718	2.68417769791864	2.3538529927301	2.3875131975035	2.4270423814363	2.53869943509825	2.67617075238998	2.58271892510079	2.26961724962286	2.40861661396826
"Rgs16"	5.28409862806001	4.96468285524066	4.74382836866058	5.16781379256717	5.04961251484772	5.53865253995253	5.59132249802962	5.73163229157093	5.56707619870035	5.56995552743335
"Rnasel"	1.46111492105969	1.60634406478067	1.5049583519339	1.53963386814744	1.4554069707018	1.55249555964122	1.67549793289276	1.50983460711451	1.42162260615455	1.67100130697755
"Rgsl1"	-1.87932426000889	-1.88844466183947	-1.88810829808606	-1.87177029473458	-1.88977171085789	-1.88977410956746	-1.8739985709588	-1.8907597860442	-1.8894409371207	-1.88696866727377
"Teddm2"	0	0	0	0	0	0	0	0	0	0
"Teddm1b"	0	0	0	0	0	0	0	0	0	0
"Teddm1a"	0	0	0	0	0	0	0	0	0	0
"Glul"	8.22663274891222	8.40008090700346	8.3315458422624	8.6820061030471	8.50622340239634	8.50804941042409	9.06792445154914	8.94118491886706	8.24701385232387	8.43265746120872
"Zfp648"	0	0	0	0	0	0	0	0	0	0
